,Model vs. VIO Pose,VIO vs. Ground Truth Pose,Model vs. Ground Truth Pose
105,tensor(1.1900),tensor(0.9307),tensor(0.2444)
106,tensor(1.8218),tensor(0.9298),tensor(0.4554)
107,tensor(0.4021),tensor(0.9232),tensor(0.2601)
108,tensor(0.4708),tensor(0.9142),tensor(0.2823)
109,tensor(0.5450),tensor(0.9014),tensor(0.1849)
110,tensor(0.5968),tensor(0.8909),tensor(0.1926)
111,tensor(0.9496),tensor(0.8841),tensor(0.2549)
112,tensor(0.9625),tensor(0.8777),tensor(0.2524)
113,tensor(0.7775),tensor(0.8677),tensor(0.1200)
114,tensor(0.9132),tensor(0.8546),tensor(0.1461)
115,tensor(1.0120),tensor(0.8367),tensor(0.1851)
116,tensor(0.9730),tensor(0.8192),tensor(0.1333)
117,tensor(1.1299),tensor(0.8037),tensor(0.1351)
118,tensor(1.1585),tensor(0.7899),tensor(0.1795)
119,tensor(1.4163),tensor(0.7734),tensor(0.3530)
120,tensor(1.4785),tensor(0.7515),tensor(0.3901)
121,tensor(1.4310),tensor(0.7302),tensor(0.3279)
122,tensor(1.4463),tensor(0.7112),tensor(0.2909)
123,tensor(1.4437),tensor(0.6977),tensor(0.3345)
124,tensor(1.4203),tensor(0.6997),tensor(0.3357)
125,tensor(1.4343),tensor(0.7074),tensor(0.3460)
126,tensor(1.3805),tensor(0.7143),tensor(0.3519)
127,tensor(1.2406),tensor(0.7197),tensor(0.3671)
128,tensor(1.2584),tensor(0.7211),tensor(0.4073)
129,tensor(1.2027),tensor(0.7197),tensor(0.4003)
130,tensor(1.1474),tensor(0.7191),tensor(0.4120)
131,tensor(1.0821),tensor(0.7234),tensor(0.3896)
132,tensor(0.9930),tensor(0.7322),tensor(0.3297)
133,tensor(0.9610),tensor(0.7403),tensor(0.3259)
134,tensor(0.8898),tensor(0.7484),tensor(0.3044)
135,tensor(0.7899),tensor(0.7528),tensor(0.2920)
136,tensor(0.7470),tensor(0.7558),tensor(0.2600)
137,tensor(0.6911),tensor(0.7649),tensor(0.2496)
138,tensor(0.6797),tensor(0.7811),tensor(0.2833)
139,tensor(0.6324),tensor(0.8010),tensor(0.2723)
140,tensor(0.5432),tensor(0.8219),tensor(0.2083)
141,tensor(0.5890),tensor(0.8439),tensor(0.2152)
142,tensor(0.7257),tensor(0.8677),tensor(0.1815)
143,tensor(0.5856),tensor(0.8935),tensor(0.1972)
144,tensor(1.0940),tensor(0.9190),tensor(0.1947)
145,tensor(1.3413),tensor(0.9439),tensor(0.2351)
146,tensor(1.9187),tensor(0.9705),tensor(0.4001)
147,tensor(0.6282),tensor(0.9977),tensor(0.1746)
148,tensor(0.5024),tensor(1.0172),tensor(0.2261)
149,tensor(0.3762),tensor(1.0361),tensor(0.3695)
150,tensor(0.3586),tensor(1.0613),tensor(0.5137)
151,tensor(0.3642),tensor(1.0905),tensor(0.4452)
152,tensor(0.3742),tensor(1.1216),tensor(0.5005)
153,tensor(0.3684),tensor(1.1505),tensor(0.4823)
154,tensor(0.4002),tensor(1.1722),tensor(0.5004)
155,tensor(0.3726),tensor(1.1917),tensor(0.6012)
156,tensor(0.3563),tensor(1.2146),tensor(0.5923)
157,tensor(0.4503),tensor(1.2403),tensor(0.5712)
158,tensor(0.4767),tensor(1.2699),tensor(0.6113)
159,tensor(0.6109),tensor(1.2935),tensor(0.5290)
160,tensor(0.4565),tensor(1.3131),tensor(0.6670)
161,tensor(0.6138),tensor(1.3298),tensor(0.5829)
162,tensor(0.5041),tensor(1.3498),tensor(0.6131)
163,tensor(0.6524),tensor(1.3757),tensor(0.6066)
164,tensor(0.5665),tensor(1.3977),tensor(0.5806)
165,tensor(0.8461),tensor(1.4196),tensor(0.6199)
166,tensor(0.6586),tensor(1.4456),tensor(0.5681)
167,tensor(0.6904),tensor(1.4721),tensor(0.5861)
168,tensor(0.7449),tensor(1.4917),tensor(0.6409)
169,tensor(0.7528),tensor(1.5067),tensor(0.6067)
170,tensor(0.8659),tensor(1.5195),tensor(0.5796)
171,tensor(0.9970),tensor(1.5305),tensor(0.5962)
172,tensor(1.6128),tensor(1.5340),tensor(0.8973)
173,tensor(1.6816),tensor(1.5336),tensor(0.9262)
174,tensor(1.5754),tensor(1.5319),tensor(0.8577)
175,tensor(1.1649),tensor(1.5332),tensor(0.5667)
176,tensor(1.8482),tensor(1.5336),tensor(0.9548)
177,tensor(3.3349),tensor(1.5413),tensor(1.5507)
178,tensor(2.6110),tensor(1.5441),tensor(1.2670)
179,tensor(2.7418),tensor(1.5451),tensor(1.3176)
180,tensor(2.7673),tensor(1.5471),tensor(1.3220)
181,tensor(3.4348),tensor(1.5509),tensor(1.6108)
182,tensor(4.2772),tensor(1.5529),tensor(2.0247)
183,tensor(4.2039),tensor(1.5555),tensor(1.9771)
184,tensor(3.9933),tensor(1.5584),tensor(1.8876)
185,tensor(2.7240),tensor(1.5618),tensor(1.3005)
186,tensor(2.8367),tensor(1.5643),tensor(1.3610)
187,tensor(4.2934),tensor(1.5658),tensor(2.0316)
188,tensor(5.8969),tensor(1.5668),tensor(2.9785)
189,tensor(4.8472),tensor(1.5663),tensor(2.3190)
190,tensor(6.6244),tensor(1.5694),tensor(3.4040)
191,tensor(5.3151),tensor(1.5732),tensor(2.5867)
192,tensor(2.3829),tensor(1.5846),tensor(1.1435)
193,tensor(2.7764),tensor(1.5945),tensor(1.2779)
194,tensor(2.7782),tensor(1.6019),tensor(1.2607)
