,Model vs. VIO Pose,VIO vs. Ground Truth Pose,Model vs. Ground Truth Pose
462,tensor(0.7050),tensor(0.6898),tensor(0.2380)
463,tensor(0.6064),tensor(0.6924),tensor(0.2435)
464,tensor(0.5513),tensor(0.6988),tensor(0.2664)
465,tensor(0.5281),tensor(0.7114),tensor(0.2390)
466,tensor(0.7525),tensor(0.7225),tensor(0.2162)
467,tensor(0.6820),tensor(0.7257),tensor(0.1718)
468,tensor(0.6929),tensor(0.7241),tensor(0.1530)
469,tensor(0.7428),tensor(0.7258),tensor(0.1674)
470,tensor(0.4637),tensor(0.7309),tensor(0.2150)
471,tensor(0.4289),tensor(0.7419),tensor(0.2905)
472,tensor(0.4659),tensor(0.7546),tensor(0.2169)
473,tensor(0.4535),tensor(0.7610),tensor(0.3074)
474,tensor(0.4753),tensor(0.7589),tensor(0.3778)
475,tensor(0.5512),tensor(0.7484),tensor(0.2568)
476,tensor(0.7134),tensor(0.7342),tensor(0.2482)
477,tensor(0.5927),tensor(0.7238),tensor(0.2942)
478,tensor(0.9088),tensor(0.7199),tensor(0.3205)
479,tensor(0.5511),tensor(0.7166),tensor(0.3573)
480,tensor(0.5475),tensor(0.7133),tensor(0.6136)
481,tensor(0.5285),tensor(0.7121),tensor(0.5948)
482,tensor(0.5301),tensor(0.7132),tensor(0.3667)
483,tensor(0.5073),tensor(0.7177),tensor(0.5802)
484,tensor(0.4663),tensor(0.7237),tensor(0.4404)
485,tensor(0.4583),tensor(0.7286),tensor(0.4189)
486,tensor(0.4188),tensor(0.7324),tensor(0.5853)
487,tensor(0.4530),tensor(0.7406),tensor(0.8234)
488,tensor(0.4489),tensor(0.7529),tensor(0.8337)
489,tensor(0.4734),tensor(0.7667),tensor(0.8842)
490,tensor(0.6371),tensor(0.7768),tensor(1.3230)
491,tensor(0.7209),tensor(0.7873),tensor(1.6087)
492,tensor(0.7977),tensor(0.7959),tensor(1.6160)
493,tensor(0.5228),tensor(0.6767),tensor(1.2964)
494,tensor(1.2171),tensor(0.6983),tensor(2.4963)
495,tensor(1.0501),tensor(0.7191),tensor(2.2282)
496,tensor(1.4342),tensor(0.7398),tensor(2.9028)
497,tensor(1.6122),tensor(0.7603),tensor(3.2698)
498,tensor(1.1584),tensor(0.7802),tensor(2.5745)
499,tensor(1.4599),tensor(0.8016),tensor(3.0727)
500,tensor(1.3466),tensor(0.8255),tensor(2.9216)
501,tensor(1.5021),tensor(0.8495),tensor(3.1855)
502,tensor(1.5082),tensor(0.8756),tensor(3.2983)
503,tensor(1.3358),tensor(0.9025),tensor(3.0819)
504,tensor(1.3289),tensor(0.9212),tensor(3.1079)
505,tensor(1.3516),tensor(0.9341),tensor(3.2354)
506,tensor(1.2141),tensor(0.9477),tensor(3.0186)
507,tensor(1.5794),tensor(0.9640),tensor(3.6260)
508,tensor(1.4753),tensor(0.9796),tensor(3.4691)
509,tensor(1.1434),tensor(0.9939),tensor(2.9436)
510,tensor(1.0597),tensor(1.0088),tensor(2.9228)
511,tensor(1.1182),tensor(1.0241),tensor(2.9935)
512,tensor(0.6900),tensor(1.0390),tensor(2.1207)
513,tensor(0.4900),tensor(1.0542),tensor(1.7252)
514,tensor(0.4916),tensor(1.0714),tensor(1.7617)
515,tensor(0.3751),tensor(1.0904),tensor(1.4213)
516,tensor(0.3532),tensor(1.1068),tensor(1.2791)
517,tensor(0.3633),tensor(1.1183),tensor(1.3975)
518,tensor(0.3285),tensor(1.1221),tensor(1.2874)
519,tensor(0.3324),tensor(1.1187),tensor(1.1806)
520,tensor(0.2940),tensor(1.1133),tensor(1.0466)
521,tensor(0.3030),tensor(1.1106),tensor(1.1250)
522,tensor(0.2743),tensor(1.1088),tensor(0.8709)
523,tensor(0.2712),tensor(1.1087),tensor(0.9870)
524,tensor(0.2739),tensor(1.1087),tensor(0.8298)
525,tensor(0.2835),tensor(1.1075),tensor(0.7105)
526,tensor(0.2997),tensor(1.1068),tensor(0.6713)
527,tensor(0.3125),tensor(1.1068),tensor(0.6108)
528,tensor(0.3350),tensor(1.1065),tensor(0.5834)
529,tensor(0.3485),tensor(1.1079),tensor(0.5284)
530,tensor(0.2972),tensor(1.1074),tensor(0.6348)
531,tensor(0.3393),tensor(1.1048),tensor(0.6779)
532,tensor(1.2419),tensor(1.0982),tensor(0.2974)
533,tensor(3.0250),tensor(1.0895),tensor(1.0548)
534,tensor(2.8834),tensor(1.0783),tensor(0.9927)
535,tensor(3.2246),tensor(1.0607),tensor(1.1709)
536,tensor(2.3495),tensor(1.1683),tensor(0.7439)
537,tensor(0.4905),tensor(1.1702),tensor(0.2728)
538,tensor(0.5567),tensor(1.1718),tensor(0.2400)
539,tensor(0.7469),tensor(1.1662),tensor(0.1492)
540,tensor(0.9312),tensor(1.1595),tensor(0.1457)
541,tensor(1.0550),tensor(1.1526),tensor(0.1443)
542,tensor(0.9157),tensor(1.1500),tensor(0.1372)
543,tensor(0.4990),tensor(1.1513),tensor(0.2469)
544,tensor(0.5251),tensor(1.1603),tensor(0.2768)
545,tensor(0.4684),tensor(1.1774),tensor(0.4741)
546,tensor(0.5529),tensor(1.2001),tensor(0.3238)
547,tensor(2.4320),tensor(1.2277),tensor(0.7414)
548,tensor(0.4991),tensor(1.2582),tensor(0.5417)
549,tensor(2.0949),tensor(1.2966),tensor(0.6010)
550,tensor(2.1018),tensor(1.3387),tensor(0.6068)
551,tensor(0.9492),tensor(1.3833),tensor(0.4632)
552,tensor(1.6221),tensor(1.4298),tensor(0.5519)
553,tensor(2.2493),tensor(1.4798),tensor(0.7756)
554,tensor(2.8408),tensor(1.5283),tensor(1.0423)
555,tensor(2.4483),tensor(1.5783),tensor(0.9351)
556,tensor(2.6068),tensor(1.6300),tensor(1.0446)
557,tensor(2.3076),tensor(1.6802),tensor(1.0175)
558,tensor(2.8387),tensor(1.7293),tensor(1.2505)
559,tensor(2.2151),tensor(1.7698),tensor(1.1576)
560,tensor(2.4986),tensor(1.8018),tensor(1.2443)
561,tensor(1.8632),tensor(1.8332),tensor(1.3042)
562,tensor(3.0380),tensor(1.8592),tensor(1.4650)
563,tensor(2.1436),tensor(1.8733),tensor(1.2986)
564,tensor(1.7028),tensor(1.8733),tensor(1.3981)
565,tensor(1.6881),tensor(1.8711),tensor(1.4102)
566,tensor(1.8710),tensor(1.8687),tensor(1.2789)
567,tensor(1.5681),tensor(1.8645),tensor(1.3837)
568,tensor(2.1761),tensor(1.8605),tensor(1.2080)
569,tensor(1.2766),tensor(1.8581),tensor(1.7483)
570,tensor(1.9202),tensor(1.8537),tensor(1.1901)
571,tensor(1.2942),tensor(1.8461),tensor(1.6926)
572,tensor(1.2820),tensor(1.8414),tensor(1.6569)
573,tensor(1.2417),tensor(1.7386),tensor(1.8705)
574,tensor(1.3304),tensor(1.7373),tensor(1.5495)
575,tensor(1.4209),tensor(1.8583),tensor(1.4254)
576,tensor(2.3417),tensor(1.8677),tensor(1.1931)
577,tensor(2.8439),tensor(1.8776),tensor(1.2796)
578,tensor(2.8086),tensor(1.8911),tensor(1.2966)
579,tensor(3.7407),tensor(1.9078),tensor(1.5729)
580,tensor(3.2778),tensor(1.9265),tensor(1.4455)
581,tensor(3.3711),tensor(1.9467),tensor(1.5217)
582,tensor(3.5112),tensor(1.9626),tensor(1.5494)
583,tensor(2.6919),tensor(1.9750),tensor(1.4343)
584,tensor(2.0715),tensor(1.9855),tensor(1.5444)
585,tensor(1.5922),tensor(1.9138),tensor(2.1405)
586,tensor(1.5560),tensor(1.9483),tensor(2.5742)
587,tensor(1.5845),tensor(1.9818),tensor(3.0109)
588,tensor(1.5602),tensor(2.0084),tensor(3.2437)
589,tensor(1.6866),tensor(2.0233),tensor(3.1245)
590,tensor(1.5870),tensor(2.0222),tensor(3.4505)
591,tensor(1.5013),tensor(2.0047),tensor(3.1511)
592,tensor(1.5099),tensor(1.9691),tensor(3.2653)
593,tensor(1.3480),tensor(1.9193),tensor(2.9301)
594,tensor(1.9967),tensor(1.8660),tensor(1.4754)
595,tensor(3.5760),tensor(1.8148),tensor(1.5862)
596,tensor(3.4173),tensor(1.8832),tensor(1.5494)
597,tensor(3.6172),tensor(1.8502),tensor(1.5866)
598,tensor(3.5992),tensor(1.8208),tensor(1.5546)
599,tensor(3.5279),tensor(1.7890),tensor(1.4637)
600,tensor(3.8504),tensor(1.7646),tensor(1.6031)
601,tensor(1.7204),tensor(1.7466),tensor(0.9300)
602,tensor(1.3613),tensor(1.7284),tensor(0.9447)
603,tensor(1.3622),tensor(1.7084),tensor(0.8834)
604,tensor(1.8265),tensor(1.6896),tensor(0.8249)
605,tensor(3.5899),tensor(1.6778),tensor(1.4388)
606,tensor(3.3271),tensor(1.6691),tensor(1.3280)
607,tensor(2.9616),tensor(1.6645),tensor(1.1421)
608,tensor(2.9252),tensor(1.6663),tensor(1.1563)
609,tensor(1.9833),tensor(1.6675),tensor(0.8180)
610,tensor(3.5627),tensor(1.6676),tensor(1.4508)
611,tensor(2.1442),tensor(1.6644),tensor(0.8677)
612,tensor(2.3154),tensor(1.5501),tensor(0.9218)
613,tensor(1.8672),tensor(1.5558),tensor(0.8371)
614,tensor(1.4037),tensor(1.5535),tensor(0.8169)
615,tensor(1.1609),tensor(1.5524),tensor(0.8901)
616,tensor(1.1720),tensor(1.5532),tensor(0.8889)
617,tensor(1.0491),tensor(1.5535),tensor(0.9453)
618,tensor(1.1807),tensor(1.5528),tensor(0.8764)
619,tensor(2.6053),tensor(1.6604),tensor(1.0043)
620,tensor(2.3783),tensor(1.6674),tensor(0.9369)
621,tensor(2.7490),tensor(1.6709),tensor(1.0569)
622,tensor(1.9104),tensor(1.6709),tensor(0.8433)
623,tensor(1.9432),tensor(1.6702),tensor(0.8533)
624,tensor(2.4073),tensor(1.5617),tensor(0.9739)
625,tensor(0.9521),tensor(1.5687),tensor(1.1090)
626,tensor(0.8336),tensor(1.5732),tensor(1.3395)
627,tensor(1.3099),tensor(1.5744),tensor(0.8956)
628,tensor(2.3198),tensor(1.5681),tensor(0.9437)
629,tensor(3.0617),tensor(1.6491),tensor(1.2143)
630,tensor(2.1601),tensor(1.6333),tensor(0.8654)
631,tensor(1.2362),tensor(1.6133),tensor(0.7874)
632,tensor(1.6983),tensor(1.5913),tensor(0.7527)
633,tensor(2.0037),tensor(1.5678),tensor(0.7925)
634,tensor(1.4519),tensor(1.5455),tensor(0.6839)
635,tensor(1.3532),tensor(1.5262),tensor(0.6384)
636,tensor(1.3049),tensor(1.5086),tensor(0.6293)
637,tensor(1.3626),tensor(1.4938),tensor(0.5957)
638,tensor(1.3544),tensor(1.4841),tensor(0.5712)
639,tensor(1.7980),tensor(1.4776),tensor(0.6213)
640,tensor(3.9367),tensor(1.4738),tensor(1.6636)
641,tensor(4.8558),tensor(1.4635),tensor(2.2441)
642,tensor(3.2327),tensor(1.4449),tensor(1.2029)
643,tensor(4.6004),tensor(1.4177),tensor(2.0813)
644,tensor(4.1864),tensor(1.3882),tensor(1.8406)
645,tensor(4.4083),tensor(1.3537),tensor(2.0029)
646,tensor(4.1765),tensor(1.3180),tensor(1.8559)
647,tensor(3.5312),tensor(1.2762),tensor(1.4329)
648,tensor(4.1098),tensor(1.2259),tensor(1.8391)
649,tensor(3.5069),tensor(1.1676),tensor(1.4775)
650,tensor(1.1008),tensor(1.1072),tensor(0.1870)
651,tensor(1.1774),tensor(1.0536),tensor(0.1882)
652,tensor(2.0001),tensor(1.0092),tensor(0.5602)
653,tensor(1.5031),tensor(0.9721),tensor(0.3441)
654,tensor(1.2791),tensor(0.9424),tensor(0.2417)
655,tensor(0.8614),tensor(0.9167),tensor(0.1042)
656,tensor(0.5808),tensor(0.8938),tensor(0.1368)
657,tensor(0.6413),tensor(0.8697),tensor(0.1135)
658,tensor(0.5677),tensor(0.8392),tensor(0.1683)
659,tensor(0.5444),tensor(0.8100),tensor(0.1650)
660,tensor(0.5807),tensor(0.7873),tensor(0.1654)
661,tensor(0.4888),tensor(0.7733),tensor(0.2588)
662,tensor(0.5245),tensor(0.7652),tensor(0.2504)
663,tensor(0.4270),tensor(0.7616),tensor(0.7008)
664,tensor(0.4730),tensor(0.7590),tensor(0.8914)
665,tensor(0.5202),tensor(0.7570),tensor(1.1343)
666,tensor(0.4205),tensor(0.7576),tensor(0.7577)
667,tensor(0.3793),tensor(0.7586),tensor(0.6701)
668,tensor(0.8140),tensor(0.7624),tensor(1.8656)
669,tensor(0.7154),tensor(0.7689),tensor(1.7716)
670,tensor(0.8309),tensor(0.7788),tensor(1.9929)
671,tensor(0.7347),tensor(0.7927),tensor(1.7943)
672,tensor(0.5013),tensor(0.8086),tensor(1.2559)
673,tensor(0.9594),tensor(0.8248),tensor(2.3787)
674,tensor(0.9354),tensor(0.7171),tensor(2.3155)
675,tensor(1.0737),tensor(0.7489),tensor(2.6130)
676,tensor(1.1008),tensor(0.7830),tensor(2.6933)
677,tensor(1.0767),tensor(0.8202),tensor(2.7293)
678,tensor(0.8764),tensor(0.8576),tensor(2.4946)
679,tensor(1.1142),tensor(0.8958),tensor(2.8301)
680,tensor(1.1571),tensor(0.9347),tensor(2.8997)
681,tensor(0.8783),tensor(0.9757),tensor(2.5505)
682,tensor(0.7068),tensor(1.0179),tensor(2.3053)
683,tensor(0.4540),tensor(1.0607),tensor(1.7342)
684,tensor(0.7299),tensor(1.1027),tensor(2.3249)
685,tensor(0.5538),tensor(1.1457),tensor(2.1145)
686,tensor(0.5460),tensor(1.1878),tensor(1.9641)
687,tensor(0.4121),tensor(1.2284),tensor(1.5312)
688,tensor(0.4251),tensor(1.2662),tensor(1.5771)
689,tensor(0.8879),tensor(1.3001),tensor(2.6906)
690,tensor(0.7728),tensor(1.3294),tensor(2.5084)
691,tensor(0.8249),tensor(1.3550),tensor(2.5873)
692,tensor(0.7549),tensor(1.3771),tensor(2.4410)
693,tensor(0.6760),tensor(1.3963),tensor(2.3054)
694,tensor(0.6950),tensor(1.4125),tensor(2.3039)
695,tensor(0.6070),tensor(1.4248),tensor(2.1221)
696,tensor(0.5504),tensor(1.3921),tensor(2.0326)
697,tensor(0.5666),tensor(1.3931),tensor(1.3704)
698,tensor(0.5201),tensor(1.3870),tensor(1.3681)
699,tensor(0.4427),tensor(1.3746),tensor(1.6606)
700,tensor(0.4694),tensor(1.4455),tensor(1.2159)
701,tensor(0.7252),tensor(1.4436),tensor(0.6735)
702,tensor(0.6701),tensor(1.4414),tensor(0.7250)
703,tensor(0.9882),tensor(1.4376),tensor(0.5480)
704,tensor(0.8077),tensor(1.4317),tensor(0.6361)
705,tensor(0.6613),tensor(1.4260),tensor(0.7147)
706,tensor(0.4372),tensor(1.4177),tensor(0.8502)
707,tensor(0.4485),tensor(1.4016),tensor(0.8629)
708,tensor(0.4406),tensor(1.3799),tensor(0.7305)
709,tensor(0.4584),tensor(1.3598),tensor(0.7059)
710,tensor(0.8968),tensor(1.3395),tensor(0.5928)
711,tensor(0.4560),tensor(1.3264),tensor(0.5926)
712,tensor(0.4474),tensor(1.3214),tensor(0.5717)
713,tensor(0.4801),tensor(1.3214),tensor(0.5216)
714,tensor(0.4786),tensor(1.3305),tensor(0.5270)
715,tensor(0.8802),tensor(1.3420),tensor(0.5727)
716,tensor(1.3059),tensor(1.3472),tensor(0.5567)
717,tensor(0.4023),tensor(1.3447),tensor(0.5880)
718,tensor(0.3917),tensor(1.3314),tensor(0.5752)
719,tensor(0.4392),tensor(1.3123),tensor(0.5757)
720,tensor(1.6406),tensor(1.2856),tensor(0.5314)
721,tensor(2.6874),tensor(1.2482),tensor(0.8544)
722,tensor(3.0060),tensor(1.2045),tensor(0.9680)
723,tensor(0.8541),tensor(1.1573),tensor(0.3817)
724,tensor(0.8212),tensor(1.1084),tensor(0.3461)
725,tensor(0.3370),tensor(1.0577),tensor(0.4518)
726,tensor(0.3141),tensor(1.0047),tensor(0.3912)
727,tensor(0.3419),tensor(0.9554),tensor(0.3745)
728,tensor(0.4564),tensor(0.9108),tensor(0.4321)
729,tensor(0.4301),tensor(0.8710),tensor(0.3506)
730,tensor(0.4454),tensor(0.8342),tensor(0.2972)
731,tensor(0.5547),tensor(0.8014),tensor(0.3257)
732,tensor(0.6547),tensor(0.7701),tensor(0.3527)
733,tensor(0.6847),tensor(0.7456),tensor(0.3824)
734,tensor(1.3318),tensor(0.7262),tensor(0.5128)
735,tensor(0.8093),tensor(0.7138),tensor(0.3994)
736,tensor(1.7233),tensor(0.7068),tensor(0.6750)
737,tensor(1.4024),tensor(0.7005),tensor(0.5710)
738,tensor(0.9474),tensor(0.6966),tensor(0.4407)
739,tensor(0.9944),tensor(0.6962),tensor(0.4644)
740,tensor(0.9771),tensor(0.6982),tensor(0.4241)
741,tensor(0.8696),tensor(0.7017),tensor(0.4083)
742,tensor(1.0048),tensor(0.7068),tensor(0.4187)
743,tensor(0.8675),tensor(0.7169),tensor(0.3561)
744,tensor(0.8436),tensor(0.7308),tensor(0.3369)
745,tensor(0.8225),tensor(0.7478),tensor(0.2964)
746,tensor(0.8342),tensor(0.7634),tensor(0.3132)
747,tensor(0.8317),tensor(0.7780),tensor(0.2646)
748,tensor(0.8924),tensor(0.7870),tensor(0.2606)
749,tensor(0.9198),tensor(0.7919),tensor(0.2864)
750,tensor(0.8678),tensor(0.7959),tensor(0.2048)
751,tensor(0.8180),tensor(0.8029),tensor(0.1600)
752,tensor(0.8480),tensor(0.8029),tensor(0.1622)
753,tensor(0.8084),tensor(0.8013),tensor(0.1577)
754,tensor(0.8003),tensor(0.8047),tensor(0.1247)
755,tensor(0.8185),tensor(0.8141),tensor(0.1362)
756,tensor(0.7639),tensor(0.8324),tensor(0.1362)
757,tensor(0.8190),tensor(0.8451),tensor(0.1762)
758,tensor(0.7307),tensor(0.8509),tensor(0.1576)
759,tensor(0.7462),tensor(0.8516),tensor(0.1792)
760,tensor(0.8553),tensor(0.9319),tensor(0.1413)
761,tensor(1.0502),tensor(0.9349),tensor(0.1318)
762,tensor(0.7551),tensor(0.9370),tensor(0.1309)
763,tensor(1.3462),tensor(0.9387),tensor(0.2300)
764,tensor(1.0145),tensor(0.9405),tensor(0.1359)
765,tensor(0.7601),tensor(0.9372),tensor(0.1018)
766,tensor(1.5765),tensor(0.9323),tensor(0.3617)
767,tensor(1.2522),tensor(0.9270),tensor(0.2483)
768,tensor(1.2649),tensor(0.9212),tensor(0.2530)
769,tensor(1.3942),tensor(0.9177),tensor(0.3058)
770,tensor(1.0382),tensor(0.9135),tensor(0.1956)
771,tensor(0.5348),tensor(0.9079),tensor(0.1360)
772,tensor(0.8284),tensor(0.9047),tensor(0.1578)
773,tensor(0.3962),tensor(0.9062),tensor(0.2208)
774,tensor(0.5165),tensor(0.9161),tensor(0.1678)
775,tensor(2.3218),tensor(0.8919),tensor(0.6554)
776,tensor(0.8127),tensor(0.9067),tensor(0.2293)
777,tensor(0.5466),tensor(0.9204),tensor(0.2833)
778,tensor(1.4740),tensor(0.9358),tensor(0.3214)
779,tensor(2.5625),tensor(0.9529),tensor(0.6898)
780,tensor(2.1217),tensor(0.9703),tensor(0.4940)
781,tensor(2.3696),tensor(0.9881),tensor(0.5821)
782,tensor(1.9707),tensor(1.0050),tensor(0.4213)
783,tensor(1.9997),tensor(1.0220),tensor(0.4122)
784,tensor(1.8858),tensor(1.0383),tensor(0.3571)
785,tensor(2.1745),tensor(1.0562),tensor(0.4373)
786,tensor(1.7933),tensor(1.0762),tensor(0.3300)
787,tensor(1.7094),tensor(1.0981),tensor(0.2787)
788,tensor(1.3603),tensor(1.1181),tensor(0.1998)
789,tensor(1.3514),tensor(1.1366),tensor(0.2124)
790,tensor(1.5180),tensor(1.1514),tensor(0.2383)
791,tensor(1.3811),tensor(1.1539),tensor(0.2244)
792,tensor(1.3978),tensor(1.1457),tensor(0.2278)
793,tensor(1.2146),tensor(1.1408),tensor(0.2182)
794,tensor(1.3747),tensor(1.1373),tensor(0.2277)
795,tensor(1.4087),tensor(1.1357),tensor(0.2115)
796,tensor(1.2212),tensor(1.1323),tensor(0.2063)
797,tensor(1.1940),tensor(1.1263),tensor(0.2064)
798,tensor(1.3847),tensor(1.1202),tensor(0.2123)
799,tensor(1.3455),tensor(1.1149),tensor(0.1857)
800,tensor(1.1757),tensor(1.1087),tensor(0.1752)
801,tensor(1.1881),tensor(1.1032),tensor(0.1724)
802,tensor(1.1985),tensor(1.0971),tensor(0.1706)
803,tensor(1.1252),tensor(1.0905),tensor(0.1495)
804,tensor(1.0413),tensor(1.0875),tensor(0.1596)
805,tensor(1.0921),tensor(1.0829),tensor(0.1572)
806,tensor(1.0284),tensor(1.0785),tensor(0.1327)
807,tensor(1.2999),tensor(1.0720),tensor(0.1515)
808,tensor(0.9089),tensor(1.0596),tensor(0.1667)
809,tensor(1.0961),tensor(1.0490),tensor(0.1309)
810,tensor(1.0278),tensor(1.0394),tensor(0.1416)
811,tensor(1.2075),tensor(1.0311),tensor(0.1120)
812,tensor(0.8972),tensor(1.0236),tensor(0.1289)
813,tensor(1.0841),tensor(1.0191),tensor(0.1128)
814,tensor(1.1438),tensor(1.0164),tensor(0.1033)
815,tensor(0.8509),tensor(1.0126),tensor(0.1349)
816,tensor(1.2602),tensor(1.0084),tensor(0.1173)
817,tensor(1.0816),tensor(1.0054),tensor(0.1073)
818,tensor(1.0231),tensor(1.0045),tensor(0.1043)
819,tensor(1.0568),tensor(0.9995),tensor(0.1065)
820,tensor(0.9265),tensor(0.9886),tensor(0.1052)
821,tensor(0.9073),tensor(0.9783),tensor(0.1062)
822,tensor(1.0582),tensor(0.9726),tensor(0.1016)
823,tensor(1.2287),tensor(0.9701),tensor(0.1043)
824,tensor(1.0819),tensor(0.9698),tensor(0.1009)
825,tensor(1.1470),tensor(0.9695),tensor(0.1249)
826,tensor(1.3350),tensor(0.9700),tensor(0.1312)
827,tensor(1.1591),tensor(0.9718),tensor(0.0968)
828,tensor(1.0968),tensor(0.9741),tensor(0.1065)
829,tensor(1.1484),tensor(0.9802),tensor(0.1078)
830,tensor(1.0954),tensor(0.9762),tensor(0.1140)
831,tensor(1.0478),tensor(0.9748),tensor(0.1077)
832,tensor(1.0303),tensor(0.9754),tensor(0.0923)
833,tensor(0.9935),tensor(0.9757),tensor(0.1190)
834,tensor(1.1267),tensor(0.9756),tensor(0.0933)
835,tensor(1.0182),tensor(0.9754),tensor(0.1031)
836,tensor(1.2323),tensor(0.9755),tensor(0.1121)
837,tensor(1.0151),tensor(0.9755),tensor(0.1048)
838,tensor(1.1696),tensor(0.9755),tensor(0.1153)
839,tensor(1.0829),tensor(0.9755),tensor(0.1085)
840,tensor(0.9653),tensor(0.9756),tensor(0.1110)
841,tensor(1.0681),tensor(0.9756),tensor(0.1131)
842,tensor(1.0684),tensor(0.9756),tensor(0.1089)
843,tensor(0.9539),tensor(0.9756),tensor(0.1035)
844,tensor(1.0209),tensor(0.9757),tensor(0.1103)
