Wall time,Step,Value
1748896987.17402,49,0.5804731249809265
1748897069.9212203,99,0.5112398862838745
1748897224.716208,149,0.5899248719215393
1748897307.2086062,199,0.5597019791603088
1748897390.1632345,249,0.5650358200073242
1748897542.4639199,299,0.5040682554244995
1748897625.360493,349,0.5122995972633362
1748897707.996736,399,0.4695189893245697
1748897859.7583108,449,0.4214024245738983
1748897942.5154905,499,0.4917355179786682
1748898024.4875314,549,0.4236094355583191
1748898177.2968457,599,0.3879023492336273
1748898262.8346064,649,0.5036885142326355
1748898362.054323,699,0.385297030210495
1748898541.6279774,749,0.40306293964385986
1748898637.3047516,799,0.32402533292770386
1748898728.957163,849,0.28439369797706604
1748898896.3296754,899,0.25438645482063293
1748898988.2829041,949,0.17958252131938934
1748899163.4476926,999,0.30930063128471375
1748899261.2618916,1049,0.24535015225410461
1748899350.8395114,1099,0.20041097700595856
1748899518.7502227,1149,0.19292819499969482
1748899612.3606079,1199,0.2355923056602478
1748899705.5685492,1249,0.16048069298267365
1748899869.5229213,1299,0.17851445078849792
1748899968.9557457,1349,0.23703297972679138
1748900062.312098,1399,0.15318678319454193
1748900256.7740796,1449,0.1803027242422104
1748900350.729556,1499,0.23737378418445587
1748900440.9959843,1549,0.20574484765529633
1748900607.457874,1599,0.2053280770778656
1748900700.4351685,1649,0.11549843102693558
1748900799.0016494,1699,0.17299897968769073
1748900973.4374225,1749,0.17622917890548706
1748901070.3568282,1799,0.18648234009742737
1748901169.5724647,1849,0.12181508541107178
